Player,Team,Number,Position,Height,Weight,Last Attended,Country
Bojan Bogdanovic,DET,44.0,F,6-7,226,Fenerbahce,Croatia
Muggsy Bogues,CHA,14.0,G,5-3,141,Wake Forest,USA
Andrew Bogut,MIL,12.0,C,7-0,260,Utah,Australia
Etdrick Bohannon,LAC,41.0,F,6-9,235,Auburn-Montgomery,USA
Bol Bol,ORL,10.0,C-F,7-2,220,Oregon,Sudan
Manute Bol,WAS,1.0,C,7-6,200,Bridgeport,USA
Jonah Bolden,PHI,43.0,F,6-10,220,UCLA,Australia
Marques Bolden,MIL,15.0,C,6-10,249,Duke,USA
Bill Bolger,BAL,,F,6-5,205,Georgetown,USA
Leandro Bolmaro,UTA,9.0,F,6-6,200,FC Barcelona,Argentina
Joel Bolomboy,UTA,21.0,F,6-9,235,Weber State,Ukraine
Doug Bolstorff,DET,8.0,G,6-4,195,Minnesota,USA
George  H.Bon Salle,WAS,33.0,F,6-8,220,Illinois,USA
Phil Bond,HOU,30.0,G,6-2,175,Louisville,USA
Walter Bond,UTA,20,G,6-5,200,Minnesota,USA
Jordan Bone,ORL,18,G,6-3,180,Tennessee,USA
Dexter Boney,PHX,10,G,6-4,185,UNLV,USA
Isaac Bonga,TOR,17,G,6-8,180,Skyliners Frankfurt,Germany
Ron Bonham,BOS,21,F,6-4,192,Cincinnati,USA
Anthony Bonner,SAC,33,F,6-8,230,St. Louis,USA
Matt Bonner,SAS,15,C-F,6-10,235,Florida,USA
Devin Booker,PHX,1,G,6-5,206,Kentucky,USA
Melvin Booker,GSW,5,G,6-2,185,Missouri,USA
Trevor Booker,WAS,20,F,6-8,228,Clemson,USA
Josh Boone,BKN,2,F-C,6-10,240,Connecticut,USA
Ron Boone,SAC,24,G,6-2,200,Idaho State,USA
Calvin Booth,OKC,52,C,6-11,230,Penn State,USA
Keith Booth,CHI,22,F,6-6,226,Maryland,USA
Bob Boozer,SAC,20,F,6-8,215,Kansas State,USA
Carlos Boozer,UTA,5,F,6-9,258,Duke,USA
Curtis Borchardt,UTA,22,C,7-0,242,Stanford,USA
Jake Bornheimer,GSW,15,F,6-5,200,Muhlenberg,USA
Lazaro Borrell,OKC,11,F,6-8,220,Villa Clara,Cuba
Costic Borsavage,GSW,19,C,6-8,220,Temple,USA
